,Index,P-Value,RSquared
0,Days,0.0,1.0
1,TTR,0.007013184008657252,-0.35035964039397066
2,WordCount,0.43859696586231056,0.103687890437043
3,UniqueWords,0.12394745401737012,0.2043138256514393
4,MLU,0.4617464415999344,-0.098547800029699
5,Fillers,0.8074582010519624,-0.03270358170693763
6,NSNouns,0.8116008595291483,-0.031986681932656545
7,LIVerbs,0.7703012520369849,0.03917708265490899
8,$,1.623797877816305e-05,0.5333973184739227
9,'',0.8476855112914528,0.025777294845415626
10,",",0.9201046690781118,-0.013462758012476584
11,.,0.5325239624794473,0.08363273851055056
12,:,0.00024978351499551,0.46331200130035016
13,CC,0.4446647916325216,0.10232637938635354
14,CD,0.0003763087197808901,0.45136126329611853
15,DT,0.39745284510253487,0.11321545751281907
16,EX,0.009195127168253053,0.3391947365198441
17,FW,0.04827214065754884,-0.2604998941112889
18,IN,0.26327201555974583,0.14931644955052556
19,JJ,0.6386853610906131,0.0629627032102698
20,JJR,0.6617700131245214,0.05867037266695115
21,JJS,0.26938903808111925,0.14743935179537423
22,MD,0.21777645958008443,0.16430444098182334
23,NN,0.3848302380639561,0.11625242726400553
24,NNP,0.3611387357630408,0.12211742490284043
25,NNPS,0.00047497976829905246,0.44437076556809374
26,NNS,0.13035361188450498,0.2009705912698407
27,PRP,0.6228834178172946,0.06593731760899824
28,PRP$,0.10889826673901076,0.21271944727124628
29,RB,0.8680578155975469,0.022296062180661855
30,RP,0.3934101757627795,0.1141818361811349
31,TO,0.31422169198066835,0.1344730966194864
32,UH,0.6137234812051982,-0.06767612330391733
33,VB,0.5511439944750234,0.07987840264989478
34,VBD,0.7541258188951221,-0.04202227760973388
35,VBG,0.4878529034482809,0.09291624622732889
36,VBN,0.22188377049929123,0.1628672100454129
37,VBP,0.45118003530823836,0.10087590555595416
38,VBZ,0.30851143899923356,0.13605466773229002
39,WDT,0.43000887468096516,-0.10563305080061605
40,WP,0.8226610161547385,0.03007697584210253
41,WRB,0.7680952362096025,0.03956407575255128
42,``,0.6554762127455206,0.059834657668757854
43,PDT,0.3112922480962589,-0.13528214075411701
44,POS,0.7583260321157906,0.04128175662331051
45,RBS,0.06849245834108116,0.2409155837808124
46,WP$,0.7416977087061538,0.04422083770880534
47,RBR,0.6925633815926905,-0.053033689904174126
48,Segment_x,1.0,0.0
49,WC_x,0.7119795758857885,0.04952653534884689
50,Analytic_x,0.41952288990740416,0.10803809986395585
51,Clout_x,0.9551847045487817,0.007543158928875598
52,Authentic_x,0.6314514894248643,-0.06432059902815139
53,Tone_x,0.9387995855477748,0.010305616460185513
54,WPS_x,0.8899709889466287,-0.018567689128263017
55,Sixltr_x,0.7321105879676315,0.04592472761014337
56,Dic_x,0.9684948201411726,-0.005301471667109515
57,function_x,0.9656019844883229,-0.005788539191689587
58,pronoun_x,0.9315235478818982,-0.011533619106748494
59,ppron_x,0.8907473412546592,-0.018435870081168027
60,i_x,0.5559711797222002,-0.07891512435822025
61,we_x,0.8437720577384508,0.026447894797247868
62,you_x,0.44717403101060504,-0.10176637058198397
63,shehe_x,0.8021297503241416,0.03362702724716652
64,they_x,0.20839380733997434,0.16766035017504036
65,ipron_x,0.9905541458923823,-0.001589116513201391
66,article_x,0.855432950783592,0.024451541348708493
67,prep_x,0.8350324155898573,0.02794784755909465
68,auxverb_x,0.9119005647481322,-0.014850433438833537
69,adverb_x,0.6386532722265899,-0.06296871274750207
70,conj_x,0.8800344847241548,-0.020256420179693892
71,negate_x,0.7678685680546365,0.039603857406693234
72,verb_x,0.886322573121368,-0.019187399493623344
73,adj_x,0.6082910370008504,-0.06871259893499763
74,compare_x,0.8995714009938769,-0.016938792965728342
75,interrog_x,0.7101212974634138,-0.04986073659573571
76,number_x,0.218454318353286,0.1640659476314813
77,quant_x,0.7609323174077579,-0.04082287030935184
78,affect_x,0.7442386272565332,-0.04377042100797837
79,posemo_x,0.7792323373731759,-0.03761353819838411
80,negemo_x,0.6875432985758743,-0.05394615082950786
81,anx_x,0.7716575267945196,-0.038939314073857034
82,anger_x,0.4875209566678461,0.09298683333549505
83,sad_x,0.4413025210591619,-0.10307952437158922
84,social_x,0.9784605142701155,0.003624025951255804
85,family_x,0.18993251969488117,-0.1745889552521896
86,friend_x,0.4363178657820259,0.10420199467841204
87,female_x,0.723033974519567,-0.047544558692557665
88,male_x,0.8739750773783181,0.02128774721151716
89,cogproc_x,0.9087051199145214,0.015391334190147972
90,insight_x,0.9295829025601372,0.01186130329750356
91,cause_x,0.914546311536978,-0.014402759312234137
92,discrep_x,0.5171997476879124,0.08677124097009925
93,tentat_x,0.8749061680945807,-0.021129195049823718
94,certain_x,0.8915244302774369,-0.018303943272115607
95,differ_x,0.824878740157008,0.02969477629718322
96,percept_x,0.535977977865427,-0.08293153712332979
97,see_x,0.49964824072637715,-0.09042410362690775
98,hear_x,0.8352503948854766,-0.027910395981701905
99,feel_x,0.2611221148587995,-0.1499831204051768
100,bio_x,0.7020021141228576,-0.05132450099119741
101,body_x,0.8366434082683616,0.027671108635062627
102,health_x,0.6770999151861791,-0.05585224047674095
103,sexual_x,0.9290008154032676,-0.01195960390725789
104,ingest_x,0.4557356622179738,-0.09986854154636743
105,drives_x,0.7844097218673516,0.036709430337792795
106,affiliation_x,0.8726824232068476,0.021507916730177455
107,achieve_x,0.6941473683608164,0.0527462786208536
108,power_x,0.5692673959937107,0.07628207420010823
109,reward_x,0.7905993831421544,0.03563067398599794
110,risk_x,0.7077898352753202,-0.050280464456283445
111,focuspast_x,0.8872216901831274,0.019034641353423528
112,focuspresent_x,0.9242667919351291,-0.012759303749980999
113,focusfuture_x,0.3099335608902267,-0.135659036513669
114,relativ_x,0.9801097325977235,-0.0033464861324450615
115,motion_x,0.5001443327681574,-0.09031996132339128
116,space_x,0.7753933649450975,0.038284996892463494
117,time_x,0.7426547501594642,-0.04405113074409455
118,work_x,0.4999347813899697,0.09036394496378136
119,leisure_x,0.6273489240242376,-0.06509356488731419
120,home_x,0.5854324559792343,0.07311903192979032
121,money_x,0.7070510271393062,0.05041357034115246
122,relig_x,0.14642918879811206,-0.19309474740902957
123,death_x,0.5154533454320409,0.08713185343057782
124,informal_x,0.6069613522907186,-0.06896690322427225
125,swear_x,0.16223261050472532,-0.1859570965439841
126,netspeak_x,0.2548169375066326,-0.15195989199082463
127,assent_x,0.5148476859791755,-0.08725705930163205
128,nonflu_x,0.8915276481086447,-0.018303397015091333
129,filler_x,1.0,
130,AllPunc_x,0.8384476895748835,0.027361302121813202
131,Period_x,0.8802224917433732,0.020224439807426633
132,Comma_x,0.8327267244894879,-0.028344124540617122
133,Colon_x,0.5162356235739527,0.08697024569434446
134,SemiC_x,0.4668192661278058,-0.09744040722496328
135,QMark_x,0.7067360649873964,0.050470329562056084
136,Exclam_x,0.5746245466802022,-0.07522931883845016
137,Dash_x,0.009556798393507442,0.33757234379429857
138,Quote_x,0.7369460000753921,0.045064459529169924
139,Apostro_x,0.9317860551288966,0.011489299092842228
140,Parenth_x,1.0,
141,OtherP_x,0.04154860263935516,0.2685131463821507
142,Segment_y,1.0,
143,WC_y,0.49079734842230827,0.09229122142698834
144,Analytic_y,0.004620674525520794,0.36683110107698613
145,Clout_y,0.5618473735391558,0.07774785349146815
146,Authentic_y,0.026730289308278178,-0.2909103381018528
147,Tone_y,0.6565161428150958,0.05964198076465825
148,WPS_y,0.2668536381379056,-0.14821387793583254
149,Sixltr_y,0.0064202366500600485,0.35391794588258446
150,Dic_y,0.010193056001328134,-0.33484320730161715
151,function_y,0.06499906963287716,-0.24393089873918813
152,pronoun_y,0.24313100731704146,-0.15571310404128735
153,ppron_y,0.14027723307586548,-0.19602837322770714
154,i_y,0.009918134725356312,-0.33600379198994923
155,we_y,0.4931578449021806,0.09179156775959957
156,you_y,0.0052652178124392175,-0.3617662553597637
157,shehe_y,0.6283962081127246,0.06489604614267461
158,they_y,7.748603357610507e-05,0.4952103505773069
159,ipron_y,0.935048523526208,-0.010938585361781378
160,article_y,0.18095274771585856,0.1781344048033628
161,prep_y,0.010323812179234134,0.3343007051002815
162,auxverb_y,0.1612772329172304,-0.1863736604095991
163,adverb_y,0.0002522895675869342,-0.4630260266343366
164,conj_y,0.15964963701248142,-0.18708752076738236
165,negate_y,0.2891329910199468,0.14156743561416693
166,verb_y,0.07118115752396353,-0.2386775397429678
167,adj_y,0.0005646234248816915,-0.43908236950829016
168,compare_y,0.5922208653542786,-0.07180258302337947
169,interrog_y,0.21266623310572788,-0.16611933755101135
170,number_y,0.0006354463895506057,0.4354179399792346
171,quant_y,0.17650385070711563,-0.17993814495612034
172,affect_y,0.008933543577814616,-0.3404030440368558
173,posemo_y,0.1084545341022994,-0.2129804720299536
174,negemo_y,0.2491655795745404,-0.15376000161683603
175,anx_y,0.6194061767197194,-0.06659610466512886
176,anger_y,0.1946253621772985,0.17278377666514888
177,sad_y,0.16169100966621175,-0.1861930235207959
178,social_y,0.8109905560870748,0.03209224054074903
179,family_y,0.029423446015217226,-0.28617458717156674
180,friend_y,0.18832748559440504,0.17521368470134507
181,female_y,0.5781838549917866,-0.07453236396285344
182,male_y,0.7486015175452364,0.04299814811382159
